original_parquet_row_index,label,premise,hypothesis,gemma-3-4b-it,bloomz-1b7,llama-3.1-70b-it,Mistral-7B-Instruct
9930,neutral,A man and a woman embracing on the sidewalk.,A woman and a man block the entire sidewalk.,neutral,contradiction,neutral,neutral
7051,contradiction,A lady in a dark coat is sitting with many people around her.,A woman is standing with her back to a dog.,contradiction,contradiction,neutral,contradiction
8158,entailment,Children on the beach with their dog.,The children are at the ocean with their dog.,entailment,contradiction,entailment,neutral
9896,contradiction,A man is smiling at a woman in a white dress.,The man is on the moon.,contradiction,contradiction,contradiction,contradiction
2249,entailment,A fighter jet plane is landed outside Notre Dame cathedral at night.,The fighter jet plane is not moving.,neutral,contradiction,neutral,contradiction
4640,contradiction,Two kids in blue wetsuits surf.,Two children build a sand castle.,neutral,contradiction,neutral,neutral
9485,entailment,two dogs run across the woods.,The canines run around in the forest.,entailment,entailment,entailment,neutral
4947,neutral,Several adults look on while a young girl plays in a ball pit.,A young girl is having fun.,entailment,contradiction,entailment,neutral
9920,neutral,Cheerleaders in blue performing on a football field underneath a yellow football goal post.,A group of girls shake pom poms.,entailment,contradiction,entailment,neutral
1963,contradiction,A young boy plays on a pile of rocks.,A girl is having a tea party in her room.,neutral,contradiction,neutral,neutral
8243,contradiction,"A girl in a purple top, baggy pants and sneakers is blowing a kiss, while another girl in black watches.",A girl is smoking a cigar in a pool hall.,contradiction,contradiction,neutral,neutral
6590,contradiction,People trying to get warm.,People are sleeping.,neutral,contradiction,neutral,neutral
8847,contradiction,A group of young men are running in a grassy field.,A man sits by himself in the grass reading a book.,contradiction,contradiction,neutral,contradiction
321,entailment,"A woman, in red and white, and wearing glasses, sits in a room with other people.",A woman is sitting in a room with other people.,entailment,contradiction,entailment,neutral
2678,entailment,Two men spar in martial arts gear.,There are multiple people present.,neutral,contradiction,entailment,neutral
4625,contradiction,A man in a army uniform is holding a picture with trees in it.,"The man, wearing scuba gear, jumps off the side of the boat into the ocean below.",contradiction,contradiction,contradiction,neutral
4949,contradiction,"A woman with a bag, talking on her cellphone, standing on the corner of the street, waiting to cross.",A man yells at the television for no reason.,neutral,contradiction,neutral,neutral
8328,contradiction,People waiting on a train platform.,People survive a horrible train crash.,contradiction,contradiction,neutral,contradiction
3337,entailment,The child is hanging upside down with his legs over a pole.,The child is upside down.,entailment,contradiction,entailment,entailment
5589,contradiction,A surfer is riding a wave in a large body of water.,The surfer is skateboarding.,contradiction,contradiction,contradiction,contradiction
251,contradiction,people are standing near water with a boat heading their direction,People are waiting in line at the restaurant.,neutral,contradiction,contradiction,neutral
3973,neutral,Two dogs are running next to each other on a grassy hill.,The dogs are chasing a squirrel.,neutral,entailment,neutral,neutral
6630,neutral,A woman wearing a beige sweater and black pants talking to man wearing black pants and top,The man and woman are engaged.,neutral,contradiction,neutral,neutral
5547,contradiction,"A young boy is following through on a kick during a soccer game, while two players on the opposing team challenge.","The boy is on the floor, writhing in agony.",contradiction,contradiction,contradiction,neutral
35,contradiction,A man reads the paper in a bar with green lighting.,The man is climbing a mountain.,contradiction,contradiction,contradiction,neutral
8362,entailment,An old man in a blue shirt and white pants glowers by a glass door.,A man wearing a blue shirt and white pants,entailment,contradiction,entailment,neutral
1513,entailment,Several people in blue scrubs and one in a skirt and black blouse.,There are people wearing scrubs.,entailment,contradiction,entailment,neutral
9317,neutral,A woman is observing pictures on a camera.,A women purchasing a new camera from the store.,neutral,contradiction,neutral,neutral
39,entailment,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,entailment,contradiction,entailment,neutral
4819,contradiction,People waiting in line in a snowstorm.,People are waiting in a line during a scorching drought.,contradiction,contradiction,contradiction,contradiction
3465,neutral,"In front of a brick house with a straw roof and some figures, three children stand, two of them holding squares of blackboard.",The children are doing schoolwork on the black boards,entailment,contradiction,entailment,neutral
1760,contradiction,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",a cow moo's,contradiction,contradiction,neutral,neutral
2304,contradiction,Two bearded men sit side by side.,Three women are sitting on a blanket.,contradiction,contradiction,neutral,neutral
3723,entailment,Three puppies are in the tub being sprayed with water by a person.,Animals are in a tub.,entailment,contradiction,entailment,neutral
8284,contradiction,Casually dressed young males and females are sitting and laying on a grassy area with bicycles and other personal belongings reading on a sunny day.,A little boy pushes an oily man off a deck.,contradiction,contradiction,neutral,contradiction
4993,neutral,Man jumping over a rusty fence on a blue bicycle.,Man jumping over the fence on his bicycle trying to escape from the dog.,entailment,contradiction,entailment,neutral
8127,entailment,A man wearing a jacket is listening to headphones while walking down the sidewalk along a street.,A person walking outside.,entailment,contradiction,entailment,neutral
3032,neutral,Stick figures in the middle of the street.,A painting of a stick figure,entailment,contradiction,neutral,neutral
7938,neutral,A boy looks on at an electric device with three batteries inside of it and wires all around.,The young child is working on his science project.,entailment,contradiction,entailment,neutral
3039,neutral,"Five children, two boys and three girls, with the girls wearing white scarves, sit on the pavement outside in front of a large window.",There is snow outside.,neutral,contradiction,neutral,neutral
9655,entailment,A bird is perched on a tree branch.,A bird is perching in a tree.,entailment,entailment,entailment,neutral
2545,neutral,Three Asian men are running down a track holding hands while a large gathering of people watches them.,Three men are performing a ritual.,neutral,contradiction,neutral,neutral
2592,neutral,A man in military uniform points as three other men watch.,the man is training some guys,neutral,contradiction,entailment,neutral
1188,contradiction,There is a group of children getting their picture taken with presents.,Two men carry a Christmas tree.,neutral,contradiction,neutral,neutral
7966,entailment,The man walks among the large trees.,The man walks among trees.,entailment,entailment,entailment,entailment
6077,contradiction,"A person is climbing a wooden ladder on a very steep, jagged, rock cliff.",A person is mountain climbing using nothing but his hands and the rocks.,entailment,contradiction,neutral,neutral
107,,A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car proceeding straight as pedestrians walked across the road in back of it.,contradiction,contradiction,neutral,neutral
1315,neutral,A tan dog chases a black and white soccer ball.,A dog is at the park with it's owner.,neutral,contradiction,neutral,neutral
8187,neutral,Two women are relaxing in a hot tub.,Two women are on vacation in the hot tub.,entailment,contradiction,neutral,neutral
2753,contradiction,A man in a tank top fixing himself a hotdog.,two girls were ther,contradiction,contradiction,neutral,neutral
9753,contradiction,Little boy peering into a glass display case.,a girl is walking,neutral,contradiction,neutral,neutral
6231,neutral,"Two boys running down a outer hallway of an apartment building, with one running into frame with the other running ahead down the hall.",Two boys are playing a game.,neutral,contradiction,entailment,neutral
2876,entailment,Female in a military uniform with her hair tied back.,the female is wearing her hair up,entailment,contradiction,entailment,neutral
5323,neutral,A group of people sitting around a small round table eating.,The people are enjoying a meal.,entailment,entailment,entailment,entailment
799,contradiction,Workers standing on a lift.,Workers walk home from work,neutral,contradiction,neutral,neutral
3570,neutral,A man with his arm around a woman.,The woman and man are smiling.,neutral,entailment,neutral,neutral
2894,neutral,A girl with short hair and a white shirt is holding a beer bottle,The girl has just got down drinking the whole bottle.,neutral,contradiction,neutral,neutral
2927,neutral,a young girl looking down through some leaves from atop a tree.,The girl is playing hide and seek.,neutral,entailment,neutral,neutral
8178,neutral,People boating on a lake with the sun through the clouds in the distance.,people having boat party,neutral,contradiction,neutral,neutral
971,neutral,A female gymnast in black and red being coached on bar skills.,The female gymnast is training for the Olympics.,neutral,contradiction,neutral,neutral
6687,contradiction,Three people are riding a carriage pulled by four horses.,The oxen are pulling the carriage.,contradiction,contradiction,contradiction,contradiction
8575,contradiction,Middle-aged man cleaning the fallen snow on the roof of his car with a broom.,The man is brushing the leaves off his car.,neutral,contradiction,neutral,neutral
2020,entailment,A demolition crane tearing down what is left of a building with a man standing on a platform spraying water.,The demolition vehicle is being operated.,entailment,contradiction,entailment,neutral
9054,contradiction,A soldier using binoculars in a desert.,A soldier standing outside of a palace.,contradiction,contradiction,neutral,neutral
952,neutral,"A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.",A man sits by himself at Mardi Gras.,neutral,contradiction,neutral,neutral
5359,neutral,A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.,The vest is nice and warm.,neutral,contradiction,neutral,neutral
3857,contradiction,A skier goes down a hill with a mountain as a backdrop.,A surfer riding a wave.,neutral,contradiction,neutral,neutral
5861,neutral,A young girl with her bike.,The little girl is going to ride her bike.,entailment,entailment,entailment,neutral
3145,entailment,A man in a brown shirt and a white baseball cap uses a plastic barrel to water tomato plants.,A man watering plants.,entailment,contradiction,entailment,neutral
3305,entailment,A woman in a green suit walking towards an escalator.,A woman walks to an escalator.,entailment,entailment,entailment,neutral
3006,contradiction,"One person kneels in front of a plastic bucket, while another leans toward a doorway and a third person looks on from a dilapidated building.",One person kneels before zod in the oval office.,contradiction,contradiction,neutral,contradiction
9001,neutral,"A guy with piercings, tattoos and a mohawk is looking at the camera while lounging in a chair.","A male model with a mohawk, tattoos, and piercings strikes a lazy pose in a lounge chair for the camera.",entailment,contradiction,entailment,neutral
7770,contradiction,A man is wearing a blue and yellow racing uniform while holding a bottle,this guy is jumping rope,contradiction,contradiction,contradiction,neutral
7438,neutral,Lady wearing brown jacket with brown boots and orange colored scarf is hearing music while sitting in the train.,The lady is listening to music through headphones.,neutral,contradiction,neutral,neutral
7942,neutral,A man with a beard sitting in front of the tour bus.,A man is traveling to see his best friend.,neutral,contradiction,neutral,neutral
9238,contradiction,A woman with a navy sweater is looking through a blue telescope at a statue of a dinosaur.,The woman is watching television,contradiction,contradiction,contradiction,contradiction
1056,,A girl in a white knit hat and winter gear rubs her tongue over her braces.,It is the winter season.,entailment,contradiction,entailment,neutral
3154,neutral,A man playing a piano,A man is playing a black piano.,entailment,contradiction,entailment,neutral
3787,contradiction,A large brown dog and a small black dog stand near each other on a dirt patch surrounding by grass and weeds.,Two white dogs are standing in a snowbank.,contradiction,contradiction,contradiction,neutral
9189,contradiction,A man in a yellow shirt and helmet mountain biking down a dusty path.,A woman is jogging down a road.,contradiction,contradiction,neutral,neutral
7825,entailment,"A young boy sits curiously on a rock near the water, looking at his reflection.",A kid is outside looking into the water.,entailment,contradiction,entailment,neutral
7539,contradiction,some children play in the grass outside near a tree.,Children playing outside climbing trees.,entailment,contradiction,neutral,neutral
7231,contradiction,Man is shaving in the mirror.,The man has no facial hair.,contradiction,contradiction,contradiction,neutral
764,neutral,A worker peers out from atop a building under construction.,A man is atop of a building.,entailment,contradiction,entailment,neutral
5019,contradiction,Security officer working outside.,A security officer is in an office building.,contradiction,contradiction,neutral,neutral
4903,entailment,Two girls aboard an amusement park ride.,Two girls ride an amusement park ride.,entailment,contradiction,entailment,neutral
8093,contradiction,Man in robe making designs on dirt ground.,A man playing in the sand at the beach.,entailment,contradiction,neutral,neutral
6843,neutral,A crowd of people in winter garb gather in the street against a backdrop of bare trees and snow.,It is cold and snowy outside.,entailment,contradiction,entailment,entailment
2165,contradiction,A woman fell in the water after riding a wakeboard.,A woman lays on a pool float.,contradiction,contradiction,neutral,contradiction
1862,contradiction,"A man looks at an iPad on a subway, while a beautiful women reads a book.",A man and woman are on a boat in the middle of the sea.,contradiction,contradiction,neutral,neutral
7850,neutral,A woman in a white tennis outfit is jumping up to hit the ball.,women playing,entailment,contradiction,entailment,neutral
9123,neutral,A man and a woman jumping with a lake in the background.,They have been swimming.,neutral,entailment,neutral,neutral
2340,contradiction,"A lady teacher warning her students about their behavior in a museum setting, and inviting them to be quite.",Students are inside of a movie theater,contradiction,contradiction,contradiction,contradiction
5527,entailment,A person stands between two giant statues that look like faces.,A human is standing between two large objects.,entailment,contradiction,entailment,neutral
6743,neutral,A tour bus parked in a park.,The buss is stopping for some picture breaks for the tourists,neutral,contradiction,entailment,neutral
4003,neutral,"this Man, with a Red& White Shirt has Water Bottles on this White Truck.",the guy has bottles on the truck for me,neutral,contradiction,neutral,neutral
1123,contradiction,Three girls are standing and talking to each other.,Three girls are seated,neutral,entailment,contradiction,neutral
8709,contradiction,"An old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it.",A farmer is milking the cow.,contradiction,contradiction,neutral,contradiction
4049,contradiction,A man with black clothing is sweeping steps with a broom.,The man has white clothing.,contradiction,contradiction,contradiction,neutral
7640,contradiction,"Two men are drumming, one is standing and one is sitting down.",Two women are playing the flute.,contradiction,contradiction,neutral,contradiction
765,entailment,"A young child joyfully pulls colorful tissue paper from a decorated box, looking for his present.",a child pulls colorful tissue paper from a fancy box,entailment,contradiction,entailment,neutral
2344,neutral,"Blue, red, yellow, and white are the dominant colors of a picture of two police vehicles outside of what looks like a smoke roll playing vehicle, a motorcycle in between the two cars with 6 people in the picture.",The six people are all police.,entailment,contradiction,neutral,entailment
4071,contradiction,A man in a gray coat is walking on a fallen tree trunk in a forest.,Two girls play tag in a forest.,contradiction,contradiction,neutral,neutral
7216,entailment,Man sleeping in a couch in a sitting position wearing a blue jeans and a plaided shirt,There is someone sleeping on the couch.,entailment,contradiction,entailment,neutral
4216,contradiction,A woman is shaving the hair off of a black and white dog.,The boy is walking the dog in the park.,contradiction,contradiction,neutral,contradiction
7952,contradiction,"There are two young ladies jogging, by the ocean side.",Two women are fishing in the ocean.,contradiction,contradiction,neutral,neutral
5970,entailment,Two men with graying beards share a laugh while enjoying the nice weather.,Men are laughing together on a nice day.,entailment,contradiction,entailment,neutral
3350,neutral,A boy whiffs a ball with a bat.,The boy is playing baseball.,entailment,contradiction,entailment,entailment
4695,neutral,A small dog watches two big dogs playing rough in a field.,One dog is timid to participate.,neutral,contradiction,neutral,neutral
3399,contradiction,Two people sitting on the sand.,The people are standing.,contradiction,contradiction,contradiction,neutral
4081,neutral,Some kids are wrestling on an inflatable raft,Some kids playing with a raft in the lake.,entailment,contradiction,entailment,neutral
9149,contradiction,"A man in khakis sitting at a table with a sign that reads ""poet for hire.""",The gentleman is standing by the table.,neutral,contradiction,contradiction,neutral
1224,contradiction,Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.,A monkey is passing out orange juice in the middle of the forest.,contradiction,contradiction,neutral,contradiction
6292,neutral,A man looks back while laughing and walking.,A man walks and hears a funny joke and starts to laugh.,neutral,contradiction,entailment,neutral
3122,neutral,A man wearing a stocking hat and has a beard is looking at the camera with two women sitting on the couch next to him.,there are people in a house taking pictures,entailment,contradiction,entailment,neutral
510,entailment,"Two formally dressed, bald older women",Two bald women.,entailment,contradiction,neutral,neutral
5794,neutral,A young man in an orange hat walks his bicycle down a street.,A man broke his new bike.,neutral,contradiction,neutral,neutral
8181,contradiction,Two women are getting their pictures taken with a man in his underwear.,The women are in their underwear.,neutral,contradiction,neutral,neutral
9417,entailment,A girl in a hat has some sort of insect on her finger.,The girl is in contact with an insect.,entailment,entailment,entailment,neutral
96,contradiction,A girl playing a violin along with a group of people,A girl is washing a load of laundry.,contradiction,contradiction,neutral,neutral
6681,entailment,Two girls stand in front of two men selling what appears to be concert merchandise while a woman holding a microphone interviews the men behind the merchandise counter.,girls can stand,neutral,contradiction,neutral,neutral
1512,contradiction,Several people in blue scrubs and one in a skirt and black blouse.,Several people are naked.,contradiction,contradiction,contradiction,contradiction
8791,entailment,A lady in a white tank and shorts fixing a wooden drawer.,The woman is wearing shorts.,entailment,contradiction,entailment,neutral
119,contradiction,A woman working long hours.,A woman is sleeping.,neutral,contradiction,contradiction,neutral
7791,entailment,"Two girls walking, both with a white shirt and blue shorts on.",Two girls are walking together.,entailment,contradiction,neutral,neutral
6517,contradiction,A woman smiles while she opens a red package in front of a table with yarn and glass of liquid on it.,The woman is yelling at the package.,contradiction,contradiction,contradiction,neutral
33,entailment,A man reads the paper in a bar with green lighting.,The man is inside.,neutral,contradiction,entailment,neutral
7887,contradiction,A woman in black walks past a shop selling a t-shirt depicting a tattooed woman smoking a cigarette.,A woman is sitting on a train.,neutral,contradiction,neutral,neutral
6830,contradiction,"A man, with a blue wrapping around his foot, is about to kick another man, with a red cloth hanging from his belt, in the head.",a kitten drinks milk,contradiction,contradiction,neutral,contradiction
5421,contradiction,A blond woman wearing a pearl bracelet is about to kiss a man wearing a white shirt.,Two men are kissing.,neutral,contradiction,contradiction,contradiction
1068,neutral,"A woman is seen from above applying red nail polish to her toes, as they rest on a leather seat.",The woman is sitting next to someone.,neutral,contradiction,neutral,neutral
1347,neutral,a red-haired woman playing the violin,A woman is performing at a concert.,entailment,contradiction,entailment,neutral
4747,neutral,Two girls feeding a horse an apple.,Two girls are getting ready to ride horses.,neutral,contradiction,neutral,neutral
6005,contradiction,Two dogs are playing together.,Two pups are eating.,contradiction,entailment,neutral,neutral
6039,contradiction,A school aged child wearing makeup and doing a hand sign sits on the ground among similar aged children who are all making the same sign.,The children are all holding up paper drawings.,neutral,contradiction,neutral,neutral
3817,entailment,"One man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",A person in a shirt,entailment,contradiction,entailment,neutral
8446,entailment,"A woman is sitting outside at a table, using a knife to cut into a sandwich.",A woman is sitting outside.,entailment,contradiction,entailment,neutral
5269,contradiction,"A man in a helmet and protective gear driving a go kart, numbered 65, on a narrow paved road.","A man driving a go kart, numbered 34, on a narrow dirt road.",contradiction,contradiction,neutral,neutral
6897,entailment,A person strolling through an orange tinted woods with a dog.,They are walking their dog.,entailment,entailment,entailment,neutral
5309,entailment,The small child is wearing winter clothes and a hat.,The small child is dressed for winter.,entailment,contradiction,entailment,entailment
31,entailment,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.,entailment,contradiction,entailment,neutral
5674,entailment,Two females kneeling and a man sting in a chair looking toward a man in robes on an altar.,People are in a religious setting.,entailment,contradiction,entailment,neutral
4386,neutral,We can see the white underwear of the man wearing the red soccer jersey because he is pulling up his shorts.,People are looking at sexy underwear.,neutral,contradiction,neutral,neutral
29,contradiction,A couple walk hand in hand down a street.,A couple is sitting on a bench.,contradiction,contradiction,neutral,neutral
4202,neutral,Two women wearing aprons and hairnets look at each other while they reach into metal canisters.,Two women are running a kitchen.,neutral,contradiction,entailment,neutral
7507,neutral,Four women standing around a yellow table are looking at laptops.,A group of women shopping for a new laptop.,neutral,contradiction,entailment,neutral
735,neutral,A man in a plaid shirt looking through a telescope lens.,the man is watching the stars,entailment,contradiction,entailment,neutral
2067,,"A man in a hard hat, gray t-shirt and holding a cordless drill saluting in front of a large American flag.",A man in a red t-shirt holding a wrench salutes the American flag.,contradiction,contradiction,neutral,neutral
106,neutral,A Ford car is making a right turn as 3 males are walking across the street behind the car.,A sedan was turning a corner as walkers were crossing.,entailment,contradiction,entailment,neutral
9644,contradiction,A barber in a sports themed barber shop waits for his next customer to arrive.,A barber is closing his door.,neutral,contradiction,neutral,neutral
8894,entailment,A woman wearing colonial clothing is sitting on the grass reading to a young girl.,People are outside.,entailment,contradiction,entailment,neutral
8020,entailment,A runner in a black and blue uniform competes in a race.,he is running against a group of people,entailment,contradiction,entailment,neutral
2232,neutral,A biker wearing glass and a backpack rides near a fountain.,A biker is riding for a charity event through the center of town.,neutral,contradiction,neutral,neutral
993,contradiction,"The farmers are out working hard on there tractor, they have on their overalls and the machine is almost fixed.",People wearing shorts are standing around doing nothing.,contradiction,contradiction,neutral,contradiction
9412,neutral,The players manuever for the soccer ball.,Soccer players play outside.,entailment,contradiction,neutral,neutral
7058,,A boy taking a shot while his team watches anxiously.,A young man is about to win a basketball game.,entailment,contradiction,entailment,neutral
6789,neutral,A bald man is getting out of a small blue car.,The man drives a blue car.,entailment,contradiction,entailment,neutral
360,neutral,A birthday party for many little people to enjoy.,Children enjoying a birthday party.,entailment,entailment,entailment,neutral
304,neutral,A person in a red shirt is mowing the grass with a green riding mower.,A person in red is moving grass on a John Deer motor.,entailment,contradiction,entailment,neutral
2627,entailment,Two little white dogs running.,Two dogs are moving.,entailment,entailment,entailment,neutral
8965,contradiction,A woman in a spaghetti strap tank wearing a flower in her hair is staring towards the right.,The woman is sleeping on a pillow.,contradiction,contradiction,contradiction,contradiction
4513,neutral,"A man is laying down inside a black, non-working boat.",The man is asleep.,entailment,contradiction,neutral,neutral
5910,contradiction,A small child is giving heavy metal signs,A child pretending his hand is a bull.,neutral,contradiction,neutral,contradiction
8313,entailment,"Four men and three women, all in their beach attire, hang around a small cliff by the ocean as one man is about to dive into the water.",People in beach attire,entailment,contradiction,entailment,neutral
3100,entailment,"A man in a tie-dyed shirt and jeans is sitting on a bench with a dog and a guitar on his lap, as well as a harmonica near his mouth.",A guy is next to a dog while holding some musical instruments.,entailment,contradiction,entailment,neutral
5703,neutral,A girl bounces in a bounce house.,A girl is bouncing around at a friend birthday party.,entailment,contradiction,entailment,neutral
3898,,Three girls jumping in front of a house's flower garden.,The girls are having fun,entailment,contradiction,entailment,neutral
5440,contradiction,"The blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",A doctor prescribes some medicine.,neutral,contradiction,neutral,contradiction
7930,entailment,"A man is outdoors looking directly at the camera, and in front of him is a yellow flower.",The man poses with a yellow flower.,entailment,contradiction,entailment,neutral
621,neutral,An aisle at Best Buy with an employee standing at the computer and a Geek Squad sign in the background.,The employee is wearing a blue shirt.,neutral,contradiction,neutral,neutral
7235,entailment,a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,Three boys are holding gloves.,entailment,contradiction,entailment,neutral
2498,contradiction,A large black and white dog is licking a smaller white and black dog who is growling.,The dog is happy,neutral,contradiction,neutral,neutral
713,contradiction,A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,A man is juggling baseballs while fans look on upset,contradiction,contradiction,neutral,contradiction
8403,neutral,A few people are sitting inside of a building with lots of photography on the walls.,The people are viewing a new art exhibit.,entailment,contradiction,entailment,neutral
2855,neutral,A man wearing a hat and boots is digging for something in the snow.,A man is trying to get to something by digging.,entailment,contradiction,entailment,neutral
4269,neutral,Two men roasting marshmallows in a fire pit.,The two men are friends,neutral,contradiction,neutral,neutral
2908,entailment,Several members of a community are celebrating with music and costumes during a festival or party.,People are celebrating with music and costumes.,entailment,contradiction,entailment,neutral
8080,neutral,An accordion player with a bright colored shirt sitting outside in a chair with a young man in a blue t-shirt passing by.,The accordion player is highly skilled.,neutral,contradiction,neutral,neutral
4516,neutral,Three kids perform a skit about camping.,Three boys performed a skit.,entailment,contradiction,neutral,neutral
1261,contradiction,People sitting in chairs along a tree-lined sidewalk.,People are standing on the pavement,contradiction,entailment,contradiction,neutral
3160,contradiction,A man plays a piano painted with an image of a woman on it.,A man plays the clarinet for his family.,contradiction,contradiction,neutral,neutral
970,contradiction,A female gymnast in black and red being coached on bar skills.,The female gymnast is on her way to the gym.,neutral,contradiction,neutral,neutral
3912,neutral,Four kids pose on a stage.,Four siblings pose for a photo on a stage.,entailment,entailment,entailment,neutral
5198,neutral,"There are two kids, a soccer ball, a dog and a goat outside in a field.",The kids are playing soccer in the field with their dog.,entailment,contradiction,neutral,neutral
8846,neutral,A group of young men are running in a grassy field.,The group of young men play a game while on break from work.,neutral,contradiction,neutral,neutral
259,contradiction,An older man leans against a pedestal outside of an ornate building.,A young man is jogging,contradiction,contradiction,neutral,neutral
3790,neutral,A hand holds a strainer with a small amount of liquid in it with a table with bins in the background.,"A hand holds a strainer, a family heirloom passed down from generation to generation.",neutral,contradiction,neutral,neutral
9202,entailment,Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.,Pebbles are being thrown into a body of water by two boys.,entailment,contradiction,entailment,neutral
487,entailment,A man holding a baby who is petting a pony.,A man with a baby is petting a pony.,entailment,entailment,neutral,neutral
7907,contradiction,Two dancers in pink tops and striped capri bottoms perform on stage barefoot.,Two magicians are performing on stage.,contradiction,contradiction,contradiction,neutral
518,neutral,an old shoemaker in his factory,The shoemaker is wealthy.,neutral,contradiction,neutral,neutral
8342,entailment,"A female child in a white, long-sleeved shirt is kneeling on a couch, laughing as her hair is sticking up.",A child laughs as her hair sticks up.,entailment,contradiction,entailment,neutral
311,contradiction,Two men prepare a fish at a dock.,Two men are sitting in a canoe with their fishing poles,contradiction,contradiction,neutral,neutral
3231,neutral,"A girl is swinging, rather high, on a swing with blue ropes with lots of trees in the background.","A girl is swinging, rather high, on a swing with light blue ropes.",neutral,entailment,neutral,neutral
7932,entailment,"A man is outdoors looking directly at the camera, and in front of him is a yellow flower.",The man stands before the camera outside.,entailment,contradiction,entailment,neutral
7457,neutral,A boy in a blue shirt plays in a jumping tent.,Rent your own bouncy house today,neutral,contradiction,entailment,neutral
9783,neutral,"The young girl is swinging on a swing, and her hair is flying out behind her.",The girl is swinging at the park.,entailment,contradiction,entailment,neutral
5183,neutral,A helmeted male airborne on a bike on a dirt road.,The man doing a trick in the air.,entailment,contradiction,entailment,neutral
8076,entailment,A woman in black is getting ready in her bathroom.,The woman is wearing black,entailment,contradiction,entailment,entailment
6501,entailment,A man siting on a bench with a briefcase.,The man is outdoors with his briefcase.,entailment,contradiction,entailment,neutral
6790,neutral,Woman adjusting her eyeglasses.,Woman adjusting her eyeglasses after reading.,entailment,contradiction,entailment,neutral
7772,neutral,A happy woman who is preparing for dinner.,A woman is cooking dinner for the guests.,entailment,entailment,entailment,neutral
2737,neutral,Construction worker looking over the job site.,This worker is in charge of everyone,contradiction,contradiction,neutral,neutral
7841,entailment,A boy runs as others play on a homemade slip and slide.,A boy is running outside.,entailment,contradiction,entailment,neutral
6261,entailment,Two men shining peoples shoes.,Two men shining shoes.,entailment,contradiction,entailment,neutral
