row_id,label,roberta-sentimentic-125m,tinybert-imdb-15m,llama-3.1-70b-it,distilbert-imdb-67m
17893,negative,negative,positive,positive,negative
22018,positive,positive,positive,negative,positive
13538,positive,positive,positive,negative,positive
43118,negative,negative,negative,negative,negative
36420,negative,negative,negative,positive,negative
9405,negative,negative,negative,positive,negative
13413,negative,negative,negative,positive,negative
6720,positive,positive,positive,negative,positive
15601,positive,positive,positive,negative,positive
44743,negative,negative,negative,positive,negative
31138,positive,positive,positive,negative,positive
2729,positive,positive,positive,negative,positive
38242,negative,negative,negative,positive,negative
29625,negative,negative,negative,positive,negative
47894,positive,negative,positive,positive,positive
42090,positive,positive,positive,negative,positive
36399,negative,positive,positive,negative,negative
6244,positive,positive,positive,positive,positive
5545,positive,positive,positive,positive,positive
4064,positive,positive,positive,negative,positive
12851,negative,negative,negative,negative,negative
21802,positive,negative,positive,negative,positive
41163,negative,negative,negative,negative,negative
6232,positive,positive,positive,positive,positive
3862,negative,negative,negative,negative,negative
35094,positive,positive,positive,positive,positive
40195,positive,positive,positive,negative,positive
39250,negative,negative,negative,positive,negative
6217,negative,negative,negative,positive,negative
36775,positive,positive,positive,negative,positive
42976,negative,negative,negative,positive,negative
48467,positive,positive,positive,positive,positive
14831,positive,positive,positive,positive,positive
30092,negative,negative,negative,positive,negative
8893,negative,negative,negative,negative,negative
6020,negative,negative,negative,negative,negative
46088,positive,positive,positive,positive,positive
15242,positive,positive,positive,positive,positive
45307,positive,positive,positive,positive,positive
26550,negative,negative,negative,positive,negative
6034,negative,negative,negative,positive,negative
7905,positive,positive,positive,positive,positive
32225,negative,negative,negative,positive,negative
6017,negative,negative,negative,negative,negative
21879,negative,negative,negative,positive,negative
2791,negative,negative,positive,negative,negative
42605,positive,positive,positive,negative,positive
5823,positive,positive,positive,positive,positive
15387,negative,negative,negative,negative,negative
29561,positive,positive,positive,negative,positive
39475,negative,negative,negative,negative,negative
292,positive,positive,positive,negative,positive
16957,positive,positive,negative,positive,negative
30860,positive,positive,positive,negative,positive
14073,negative,negative,negative,positive,negative
21856,negative,negative,negative,negative,negative
22079,negative,negative,negative,positive,negative
17023,positive,negative,negative,positive,negative
8739,positive,positive,positive,negative,positive
15825,positive,positive,positive,negative,positive
2741,positive,positive,positive,negative,positive
18048,positive,positive,positive,negative,positive
49936,positive,positive,positive,positive,positive
17372,negative,negative,negative,positive,negative
22021,positive,positive,positive,positive,positive
46364,negative,negative,negative,negative,negative
23537,positive,positive,positive,positive,positive
45499,positive,positive,positive,negative,positive
40185,positive,positive,positive,positive,positive
9613,negative,negative,negative,negative,negative
43281,positive,positive,positive,negative,positive
37891,negative,negative,negative,positive,negative
26178,positive,positive,positive,negative,positive
45892,negative,negative,negative,positive,negative
20933,positive,positive,positive,positive,positive
40971,positive,negative,negative,negative,negative
22224,negative,negative,negative,negative,negative
24381,negative,negative,negative,positive,negative
34855,negative,negative,negative,negative,negative
48577,positive,positive,positive,positive,positive
38536,positive,positive,positive,negative,positive
31755,positive,positive,positive,negative,positive
7753,positive,positive,positive,negative,positive
46638,positive,positive,positive,negative,positive
43834,positive,positive,positive,negative,positive
26235,positive,positive,positive,positive,positive
44229,positive,positive,positive,negative,positive
49596,positive,positive,positive,negative,positive
18552,positive,positive,positive,positive,positive
43136,negative,positive,negative,negative,negative
36672,positive,positive,positive,negative,positive
43649,negative,negative,positive,negative,negative
3940,positive,positive,positive,positive,positive
31496,negative,negative,negative,negative,negative
26593,negative,negative,negative,negative,negative
23921,negative,negative,negative,negative,positive
26402,positive,positive,positive,positive,positive
45942,negative,negative,negative,negative,negative
48525,positive,positive,positive,negative,positive
18315,negative,negative,negative,negative,negative
36893,negative,negative,positive,negative,negative
26695,positive,positive,negative,positive,positive
42127,positive,positive,positive,negative,positive
14170,positive,positive,positive,positive,positive
3732,negative,negative,negative,negative,negative
7881,negative,negative,negative,positive,negative
6016,positive,positive,positive,positive,positive
23029,negative,negative,negative,positive,negative
35473,negative,negative,negative,negative,negative
49685,positive,positive,positive,negative,positive
4817,negative,negative,positive,positive,negative
41693,negative,negative,negative,negative,negative
12007,positive,positive,positive,positive,positive
41327,positive,positive,positive,positive,positive
9506,negative,negative,negative,positive,negative
44798,negative,negative,negative,negative,negative
34062,negative,negative,negative,positive,negative
27474,negative,negative,negative,positive,negative
31143,negative,negative,negative,negative,negative
21235,negative,negative,negative,negative,negative
1390,negative,positive,negative,positive,positive
38249,negative,negative,positive,negative,negative
37624,negative,negative,negative,positive,negative
42028,positive,positive,positive,negative,positive
20834,negative,negative,negative,negative,negative
14757,positive,positive,positive,negative,positive
26396,positive,positive,positive,positive,positive
6808,positive,positive,positive,positive,positive
9225,positive,positive,positive,positive,positive
48394,negative,negative,negative,positive,negative
5395,negative,positive,negative,positive,positive
6943,negative,negative,negative,negative,negative
23870,negative,negative,negative,negative,negative
32492,negative,negative,negative,positive,negative
36345,negative,negative,negative,positive,negative
10755,positive,positive,positive,negative,positive
12301,negative,negative,negative,negative,negative
48386,positive,positive,positive,positive,positive
42745,negative,negative,positive,negative,negative
29089,negative,negative,negative,positive,negative
44712,positive,positive,positive,positive,positive
14343,negative,negative,negative,positive,negative
38172,positive,negative,positive,negative,negative
5071,negative,negative,negative,negative,positive
24121,positive,positive,positive,negative,positive
48809,positive,positive,positive,negative,positive
17820,negative,negative,negative,negative,negative
1122,positive,positive,positive,positive,positive
11264,negative,negative,negative,positive,negative
30579,negative,negative,negative,negative,negative
45464,positive,positive,positive,negative,positive
48216,negative,negative,negative,positive,negative
43044,positive,positive,positive,positive,positive
15656,positive,positive,negative,negative,positive
1900,positive,positive,positive,negative,positive
147,positive,positive,positive,positive,positive
29642,negative,negative,negative,negative,negative
3211,positive,positive,positive,negative,positive
43850,positive,positive,positive,negative,positive
2354,positive,positive,positive,positive,positive
31520,positive,positive,positive,positive,positive
42583,positive,positive,positive,negative,positive
43337,negative,negative,negative,positive,negative
45284,positive,positive,positive,negative,positive
46956,negative,negative,negative,negative,negative
48790,positive,positive,positive,positive,positive
36585,positive,positive,positive,positive,positive
10465,positive,positive,positive,positive,positive
7821,positive,negative,negative,positive,positive
7205,positive,positive,negative,positive,positive
6413,negative,negative,negative,negative,negative
34046,negative,negative,negative,negative,negative
12728,negative,negative,negative,positive,negative
6925,positive,negative,positive,negative,positive
27995,positive,positive,positive,positive,positive
37612,negative,negative,negative,negative,negative
39483,negative,positive,negative,positive,negative
3016,positive,positive,positive,negative,positive
1640,negative,negative,negative,positive,negative
8883,negative,negative,negative,positive,negative
37601,positive,positive,positive,negative,positive
12969,positive,positive,positive,positive,positive
23463,negative,negative,negative,positive,negative
15757,negative,negative,negative,positive,negative
44076,negative,negative,negative,negative,negative
4086,negative,negative,positive,positive,negative
508,negative,negative,negative,positive,negative
6354,negative,negative,negative,positive,negative
29644,positive,positive,negative,negative,negative
20815,positive,negative,negative,negative,positive
6234,negative,negative,negative,positive,negative
31989,positive,positive,positive,negative,positive
12995,negative,negative,negative,positive,negative
42501,positive,positive,positive,negative,positive
38920,positive,positive,negative,negative,negative
262,negative,negative,negative,positive,negative
7891,negative,negative,negative,negative,negative
10527,negative,negative,negative,positive,negative
18600,positive,positive,positive,positive,positive
24114,negative,negative,negative,positive,negative
33498,negative,negative,negative,positive,negative
13471,positive,positive,negative,positive,negative
31725,positive,positive,positive,negative,positive
23690,positive,positive,positive,positive,positive
10557,positive,positive,positive,negative,positive
6556,positive,positive,positive,negative,positive
45577,negative,negative,negative,negative,negative
41503,negative,negative,negative,negative,negative
27872,negative,positive,negative,positive,positive
10810,positive,positive,positive,negative,positive
38214,positive,positive,positive,negative,positive
11730,positive,positive,positive,positive,positive
27438,negative,negative,negative,positive,positive
21779,positive,positive,positive,negative,positive
34079,negative,negative,negative,negative,negative
22915,negative,negative,negative,positive,negative
8085,positive,positive,positive,negative,positive
43467,positive,positive,positive,positive,positive
14709,negative,negative,negative,negative,negative
15466,negative,negative,negative,positive,negative
37172,negative,negative,negative,negative,negative
28748,negative,negative,negative,negative,negative
3104,negative,negative,negative,negative,negative
708,negative,negative,negative,negative,negative
38385,negative,negative,negative,negative,negative
23444,positive,positive,positive,negative,positive
26510,negative,negative,negative,negative,negative
8466,positive,positive,negative,negative,positive
6230,negative,negative,negative,negative,negative
46358,negative,negative,negative,negative,negative
39357,negative,negative,negative,positive,negative
16386,negative,positive,negative,negative,positive
34165,negative,negative,negative,negative,negative
4168,positive,positive,positive,negative,positive
5803,negative,negative,negative,negative,negative
12753,negative,negative,negative,negative,negative
2189,negative,negative,negative,positive,negative
12187,negative,negative,negative,positive,negative
31727,negative,negative,negative,positive,negative
19245,negative,negative,negative,positive,negative
37866,negative,negative,negative,negative,negative
43514,positive,positive,positive,negative,positive
8718,positive,positive,positive,negative,positive
28824,negative,negative,negative,positive,negative
24468,positive,positive,positive,negative,positive
48252,negative,negative,negative,negative,negative
7201,positive,positive,positive,negative,positive
9282,positive,positive,positive,positive,positive
26820,positive,positive,positive,positive,positive
27373,negative,negative,negative,positive,negative
22492,positive,positive,positive,negative,positive
45637,positive,positive,positive,positive,positive
45879,positive,negative,positive,positive,positive
29339,negative,negative,negative,negative,negative
46547,negative,negative,negative,negative,negative
10803,negative,negative,negative,positive,negative
20964,positive,positive,positive,negative,positive
30032,negative,negative,negative,negative,negative
5222,negative,negative,negative,negative,negative
659,negative,negative,negative,negative,negative
33245,negative,negative,negative,negative,negative
